StationName,Balance_0,Balance_1,Balance_2,Balance_3,Balance_4,Balance_5,Balance_6,Balance_7,Balance_8,Balance_9,Balance_10,Balance_11,Balance_12,Balance_13,Balance_14,Balance_15,Balance_16,Balance_17,Balance_18,Balance_19,Balance_20,Balance_21,Balance_22,Balance_23,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23
Washington Ave & Greene Ave,0,-1,0,0,0,-1,1,-2,1,0,2,0,-2,-2,-1,-1,0,-1,-3,2,0,-2,0,-1,0,3,2,2,0,1,5,2,1,6,6,2,2,2,1,3,2,1,5,2,0,2,6,1
Washington St & Gansevoort St,-7,-2,4,0,-6,2,8,-2,6,-4,3,18,11,-1,0,0,-3,-5,-5,-1,-1,1,5,9,23,31,28,34,34,40,30,40,18,24,33,38,31,45,36,34,33,25,51,24,29,30,37,33
Lafayette St & E 8 St,-11,-5,-8,6,-4,-19,-5,-7,-11,2,13,3,5,-6,-3,12,2,-1,12,-6,-5,-4,-5,3,69,67,65,76,78,67,88,81,91,71,77,65,65,69,77,72,68,71,72,60,69,79,55,70
E 6 St & Avenue B,-1,4,-2,0,-6,2,6,0,-1,-7,-2,-3,1,4,0,5,-4,0,0,2,1,5,5,4,16,18,14,16,14,18,14,18,27,24,14,20,21,20,14,11,16,28,10,12,23,25,18,16
E 53 St & Lexington Ave,-2,-2,5,-1,-7,2,1,-2,-2,4,7,-10,2,1,0,5,1,-9,0,5,0,0,-5,3,12,14,19,4,13,11,15,16,19,20,17,20,14,17,14,21,13,19,14,19,12,18,17,15
1 Ave & E 68 St,0,2,-6,4,3,-3,3,-13,-9,-4,-18,-5,-1,-11,0,-1,9,-4,5,-2,-1,11,-1,7,30,34,26,26,35,33,46,37,41,36,45,39,33,39,36,21,55,40,37,35,41,45,30,25
Broadway & W 58 St,7,7,4,-4,-4,4,1,-4,2,-6,11,-2,5,-13,-8,4,-2,4,0,0,-8,6,-9,-3,34,23,34,34,32,29,36,28,36,33,29,46,33,39,39,40,54,47,35,38,32,25,47,29
Greenwich Ave & 8 Ave,-2,-6,-8,-8,6,10,9,4,19,-1,-3,5,10,8,-2,7,14,-3,11,11,3,7,10,-1,48,35,42,50,40,48,56,52,63,55,42,41,42,45,46,41,45,45,42,51,41,45,42,49
Forsyth St & Canal St,3,-8,0,3,-5,3,4,-1,3,-3,5,4,7,-6,-5,3,-2,7,-2,0,-10,-5,2,-9,11,12,12,13,15,9,20,15,23,13,17,14,19,23,13,16,13,23,20,12,20,13,14,9
Front St & Washington St,4,5,4,3,-2,-2,-1,1,-4,5,7,0,1,-2,-2,0,-5,0,-3,1,1,0,-2,-5,10,15,8,9,10,4,6,5,12,15,20,4,13,5,12,10,7,6,9,7,7,15,12,11
